P20536	4OD8
P9WH47	AF-P9WH47-F1
P61358	6SWA
P9WH41	7KGB
O60704	3AP1
Q8RY23	AF-Q8RY23-F1
Q6MX43	3ONR
Q9LTV6	AF-Q9LTV6-F1
P06737	1EM6
Q5F425	AF-Q5F425-F1
P53692	5MG8
Q9CA61	AF-Q9CA61-F1
Q2HWH1	AF-Q2HWH1-F1
Q9C995	AF-Q9C995-F1
A0A1D8PI71	AF-A0A1D8PI71-F1
P0AAR5	AF-P0AAR5-F1
Q9UT11	AF-Q9UT11-F1
O14044	AF-O14044-F1
Q8VCK3	AF-Q8VCK3-F1
Q6ENE3	AF-Q6ENE3-F1
Q0E342	AF-Q0E342-F1
P9WPD1	6DJU
Q9ZUY3	AF-Q9ZUY3-F1
A4VFY3	AF-A4VFY3-F1
Q9LM25	AF-Q9LM25-F1
Q9Y2L9	AF-Q9Y2L9-F1
P17152	AF-P17152-F1
P0AAH4	AF-P0AAH4-F1
Q922S8	1V8J
Q9P7C7	AF-Q9P7C7-F1
P56597	8J07
Q02330	AF-Q02330-F1
O60934	5WQD
P48547	7PHH
Q9CS72	AF-Q9CS72-F1
P22121	1FBQ
Q16666	2OQ0
P39904	AF-P39904-F1
Q6ZQR2	7UNG
O82290	AF-O82290-F1
P46645	AF-P46645-F1
Q02060	4RI2
P14625	4NH9
Q12743	AF-Q12743-F1
O13543	AF-O13543-F1
O94388	AF-O94388-F1
P07308	AF-P07308-F1
Q6JWV8	AF-Q6JWV8-F1
Q39163	AF-Q39163-F1
Q9ZSI7	AF-Q9ZSI7-F1
P07205	AF-P07205-F1
Q13126	1CB0
O73810	AF-O73810-F1
Q95VP3	AF-Q95VP3-F1
Q05502	AF-Q05502-F1
P0CG29	4MPF
Q8BPI1	AF-Q8BPI1-F1
P29514	AF-P29514-F1
P37285	AF-P37285-F1
F4HT21	AF-F4HT21-F1
O00294	2FIM
O14576	AF-O14576-F1
Q63651	AF-Q63651-F1
Q84KL5	AF-Q84KL5-F1
Q13636	2FG5
O22244	AF-O22244-F1
Q9XXH8	AF-Q9XXH8-F1
Q9W278	AF-Q9W278-F1
Q9X0D0	1H1C
Q7T103	AF-Q7T103-F1
P35181	AF-P35181-F1
P02721	1VZS
P09917	3O8Y
P9WKZ1	4CVY
O00463	7L3L
Q8WXX5	7CIZ
Q2TA51	AF-Q2TA51-F1
Q96MU8	5FWS
P13921	3DKX
Q38953	AF-Q38953-F1
Q8CIS0	4I16
Q4UU85	AF-Q4UU85-F1
Q812E9	AF-Q812E9-F1
P32115	AF-P32115-F1
Q9SI74	AF-Q9SI74-F1
P04273	1B10
Q8VWZ7	AF-Q8VWZ7-F1
Q96QE2	AF-Q96QE2-F1
G5ECZ4	AF-G5ECZ4-F1
Q04372	2V0P
A7TZU4	AF-A7TZU4-F1
Q6IMN6	4OUL
Q9S728	AF-Q9S728-F1
Q9H4A4	AF-Q9H4A4-F1
Q9P266	AF-Q9P266-F1
P82896	4RFP
P25906	AF-P25906-F1
Q12180	AF-Q12180-F1
Q99680	AF-Q99680-F1
Q58DX5	AF-Q58DX5-F1
P00514	1NE4
Q66HR9	AF-Q66HR9-F1
Q9D2X5	AF-Q9D2X5-F1
Q642A2	AF-Q642A2-F1
P08680	1H7D
P0A9S7	AF-P0A9S7-F1
P12433	AF-P12433-F1
Q9UN67	AF-Q9UN67-F1
Q62277	AF-Q62277-F1
Q12692	2JSS
P74645	1WWJ
P60782	AF-P60782-F1
Q9JIL8	AF-Q9JIL8-F1
O58035	2ZZE
G5EFS4	AF-G5EFS4-F1
P31785	2B5I
P50748	7QPG
Q7Z6P3	AF-Q7Z6P3-F1
P97554	AF-P97554-F1
Q9C0W4	AF-Q9C0W4-F1
Q97NV6	AF-Q97NV6-F1
Q7KBL8	AF-Q7KBL8-F1
Q9M9Q9	AF-Q9M9Q9-F1
Q9AR27	AF-Q9AR27-F1
P25144	1ZVV
Q8WX94	2KM6
A0A6G9KHD6	AF-A0A6G9KHD6-F1
O15519	2N5R
Q63369	AF-Q63369-F1
P03712	1C5E
Q86VZ5	AF-Q86VZ5-F1
C0HKQ8	AF-C0HKQ8-F1
P34760	3SBC
Q5AH25	AF-Q5AH25-F1
B2RHG5	6TNJ
Q9FPF0	AF-Q9FPF0-F1
Q8N5J4	AF-Q8N5J4-F1
O62255	AF-O62255-F1
Q8TB61	AF-Q8TB61-F1
O65502	AF-O65502-F1
Q9LUV1	AF-Q9LUV1-F1
Q8GED9	AF-Q8GED9-F1
P47924	AF-P47924-F1
Q61490	AF-Q61490-F1
Q7N9M5	AF-Q7N9M5-F1
Q01705	1YMP
Q3UPR7	AF-Q3UPR7-F1
P20271	AF-P20271-F1
Q9SS43	AF-Q9SS43-F1
P40212	4V91
Q9D030	AF-Q9D030-F1
Q8GYB4	AF-Q8GYB4-F1
B7ZR65	AF-B7ZR65-F1
P42643	AF-P42643-F1
P9WKI1	1GR0
P23767	AF-P23767-F1
P82538	AF-P82538-F1
P27594	AF-P27594-F1
Q689G9	AF-Q689G9-F1
O44836	AF-O44836-F1
Q96N58	AF-Q96N58-F1
P0CX53	3J16
Q93VJ2	AF-Q93VJ2-F1
Q9FIM2	AF-Q9FIM2-F1
Q9CQX2	AF-Q9CQX2-F1
Q19826	AF-Q19826-F1
Q08558	AF-Q08558-F1
P52739	AF-P52739-F1
P84845	AF-P84845-F1
Q86XZ4	AF-Q86XZ4-F1
Q86TI0	3QYE
Q9NWQ9	AF-Q9NWQ9-F1
Q9CAQ8	AF-Q9CAQ8-F1
F4ZGF2	AF-F4ZGF2-F1
P54137	AF-P54137-F1
Q4FE45	AF-Q4FE45-F1
P76143	3GKF
Q6PCX7	AF-Q6PCX7-F1
Q91VA1	AF-Q91VA1-F1
O22899	AF-O22899-F1
G5E829	AF-G5E829-F1
Q9DBR4	1WGU
P86025	AF-P86025-F1
P51646	AF-P51646-F1
P63092	5G53
P0DUH8	AF-P0DUH8-F1
Q2MJS2	AF-Q2MJS2-F1
O70220	AF-O70220-F1
Q8GUM2	AF-Q8GUM2-F1
Q9NTX9	AF-Q9NTX9-F1
P01709	1A8J
Q9ST62	AF-Q9ST62-F1
P0A991	AF-P0A991-F1
Q88FY5	AF-Q88FY5-F1
Q6FJI3	AF-Q6FJI3-F1
Q5VXH4	AF-Q5VXH4-F1
Q39085	AF-Q39085-F1
D3ZMK9	6EWX
Q9BRQ0	2XB1
Q8C7R4	AF-Q8C7R4-F1
P17671	AF-P17671-F1
Q5SSQ6	AF-Q5SSQ6-F1
P20959	AF-P20959-F1
P36202	AF-P36202-F1
Q05262	UnFound
P47156	AF-P47156-F1
Q09098	AF-Q09098-F1
P97577	AF-P97577-F1
O14064	AF-O14064-F1
Q8R422	AF-Q8R422-F1
A0A482AT42	AF-A0A482AT42-F1
Q2EEQ2	6I7V
Q8BT20	AF-Q8BT20-F1
Q9JM59	AF-Q9JM59-F1
P34758	AF-P34758-F1
Q9FIJ7	AF-Q9FIJ7-F1
P07334	AF-P07334-F1
Q9FI73	AF-Q9FI73-F1
P57720	AF-P57720-F1
P29013	AF-P29013-F1
Q24154	4V6W
Q9HC78	AF-Q9HC78-F1
Q9Y3M9	AF-Q9Y3M9-F1
P90900	AF-P90900-F1
Q93VR3	2C54
P16622	1L8X
P70279	AF-P70279-F1
Q4KSH9	AF-Q4KSH9-F1
Q6DHG0	AF-Q6DHG0-F1
P53200	AF-P53200-F1
Q10RX7	AF-Q10RX7-F1
A5WWC6	AF-A5WWC6-F1
A5KUH4	3DFH
Q00516	5BW0
Q5NUF4	AF-Q5NUF4-F1
C4AMC7	AF-C4AMC7-F1
Q9ZTA1	AF-Q9ZTA1-F1
Q08648	AF-Q08648-F1
Q2QNS6	AF-Q2QNS6-F1
Q99PQ1	AF-Q99PQ1-F1
P18161	AF-P18161-F1
P39956	3OPT
Q09349	AF-Q09349-F1
Q04878	AF-Q04878-F1
Q92574	4Z6Y
O77636	AF-O77636-F1
P37664	AF-P37664-F1
Q8K4R8	AF-Q8K4R8-F1
Q91XD2	AF-Q91XD2-F1
A8MQ03	AF-A8MQ03-F1
A6YSL1	AF-A6YSL1-F1
O22182	AF-O22182-F1
A0A1L8F5J9	3QEK
Q9FME4	6XYW
P36404	3DOE
O00327	4H10
Q8C7U7	AF-Q8C7U7-F1
Q9N303	AF-Q9N303-F1
Q9Y6I4	AF-Q9Y6I4-F1
P0A877	1V7Y
Q8CGP2	AF-Q8CGP2-F1
Q03049	AF-Q03049-F1
Q9H2K0	6NEQ
Q8RXG3	7XBR
O43182	AF-O43182-F1
P49258	2LMT
Q9IAK8	AF-Q9IAK8-F1
Q8BLY1	AF-Q8BLY1-F1
Q53HV7	AF-Q53HV7-F1
Q9ERL7	1VKK
Q9BTL3	5E8J
P85231	2KUK
Q9UTJ7	AF-Q9UTJ7-F1
Q9R158	AF-Q9R158-F1
Q1EIR0	AF-Q1EIR0-F1
Q8NK89	1WD3
C0PEY7	AF-C0PEY7-F1
P79106	AF-P79106-F1
Q9JIF0	AF-Q9JIF0-F1
Q63619	AF-Q63619-F1
Q9C8K2	AF-Q9C8K2-F1
P34069	AF-P34069-F1
Q8N414	AF-Q8N414-F1
O01346	AF-O01346-F1
P05877	1ACY
O35495	AF-O35495-F1
P97430	AF-P97430-F1
Q08913	AF-Q08913-F1
P51157	2HXS
Q39110	AF-Q39110-F1
Q13496	AF-Q13496-F1
Q10221	AF-Q10221-F1
Q62463	AF-Q62463-F1
Q7LL15	AF-Q7LL15-F1
G3ETQ2	AF-G3ETQ2-F1
Q9C6B9	AF-Q9C6B9-F1
Q9QXY8	AF-Q9QXY8-F1
P48061	1A15
Q99426	AF-Q99426-F1
Q8K4Q9	AF-Q8K4Q9-F1
P32881	6JHD
Q8R574	AF-Q8R574-F1
P50582	AF-P50582-F1
Q99MS8	AF-Q99MS8-F1
P52920	AF-P52920-F1
O35604	AF-O35604-F1
P86575	UnFound
P20083	1S14
P77357	AF-P77357-F1
Q03825	AF-Q03825-F1
Q8TAT6	7WWP
P53901	AF-P53901-F1
Q8C261	AF-Q8C261-F1
O43150	AF-O43150-F1
Q9LND4	AF-Q9LND4-F1
P60712	1HLU
O15066	3B6U
Q8BZH1	AF-Q8BZH1-F1
Q922U2	AF-Q922U2-F1
P0CZ17	AF-P0CZ17-F1
Q9P7J6	AF-Q9P7J6-F1
P32247	AF-P32247-F1
P9WPX3	3S1T
Q9Y4W2	8FL2
Q9CPU7	AF-Q9CPU7-F1
Q94KD0	AF-Q94KD0-F1
Q9Y6W8	6X4G
Q8VHH5	AF-Q8VHH5-F1
Q5TD97	1X68
G3XD94	AF-G3XD94-F1
Q14197	3J7Y
Q11068	AF-Q11068-F1
O70584	AF-O70584-F1
P07372	AF-P07372-F1
P35800	AF-P35800-F1
Q0E3V2	AF-Q0E3V2-F1
O42656	AF-O42656-F1
Q9Y7N4	AF-Q9Y7N4-F1
Q8VCC6	AF-Q8VCC6-F1
Q00449	AF-Q00449-F1
Q9BYD2	3J7Y
P83972	AF-P83972-F1
A1Z7T0	AF-A1Z7T0-F1
P05452	1HTN
Q9ERS7	AF-Q9ERS7-F1
P38910	AF-P38910-F1
O74201	AF-O74201-F1
Q8I467	2XF1
Q62191	2VOK
G4V4G3	AF-G4V4G3-F1
P35538	AF-P35538-F1
Q8N122	5H64
Q47KB1	5FW4
Q64385	AF-Q64385-F1
P27800	AF-P27800-F1
P01611	AF-P01611-F1
Q8RWE5	AF-Q8RWE5-F1
Q5A1L6	AF-Q5A1L6-F1
Q5T764	AF-Q5T764-F1
Q9X1N5	AF-Q9X1N5-F1
P9WPI3	AF-P9WPI3-F1
P10247	AF-P10247-F1
P83332	AF-P83332-F1
Q9P9I8	AF-Q9P9I8-F1
P46108	1JU5
Q8W4K5	AF-Q8W4K5-F1
Q9KNX6	AF-Q9KNX6-F1
P21786	AF-P21786-F1
P0CH99	AF-P0CH99-F1
O94497	AF-O94497-F1
O61443	AF-O61443-F1
Q09490	5AZF
G5CV52	AF-G5CV52-F1
Q04462	AF-Q04462-F1
Q62137	AF-Q62137-F1
P77265	AF-P77265-F1
O94343	AF-O94343-F1
P01150	AF-P01150-F1
Q8SWL3	AF-Q8SWL3-F1
P9WQ23	AF-P9WQ23-F1
Q8N163	AF-Q8N163-F1
B0R0B1	AF-B0R0B1-F1
P33332	3A58
Q39013	AF-Q39013-F1
Q94AA9	AF-Q94AA9-F1
O96005	AF-O96005-F1
P35995	AF-P35995-F1
Q9ULQ0	AF-Q9ULQ0-F1
Q84WU4	AF-Q84WU4-F1
Q8L774	AF-Q8L774-F1
A0A509AN59	AF-A0A509AN59-F1
P05426	7QGG
P19334	5F67
Q8GUH7	AF-Q8GUH7-F1
Q04807	AF-Q04807-F1
Q64151	AF-Q64151-F1
P9WMT1	AF-P9WMT1-F1
P55884	2KRB
P56393	7O37
Q8WXF3	2FHW
Q8CI78	AF-Q8CI78-F1
P08181	AF-P08181-F1
Q18803	AF-Q18803-F1
F4IJV4	AF-F4IJV4-F1
Q01638	4KC3
Q2EMV9	1X4R
P84641	AF-P84641-F1
Q9NX65	AF-Q9NX65-F1
P62805	1ZKK
Q22866	AF-Q22866-F1
Q8CFW7	AF-Q8CFW7-F1
Q28645	AF-Q28645-F1
Q20701	AF-Q20701-F1
P40937	6VVO
Q46831	AF-Q46831-F1
O94569	AF-O94569-F1
P47158	AF-P47158-F1
Q5PNP1	AF-Q5PNP1-F1
Q7TPS5	AF-Q7TPS5-F1
F8J4S0	2L3I
P30953	AF-P30953-F1
D9PTN5	AF-D9PTN5-F1
Q7KZF4	2E6N
Q3LI61	AF-Q3LI61-F1
P27305	1NZJ
Q5AKU6	AF-Q5AKU6-F1
Q9WU74	AF-Q9WU74-F1
Q6UWF3	AF-Q6UWF3-F1
Q9WTX7	AF-Q9WTX7-F1
Q9BUH6	3WTD
O14254	AF-O14254-F1
P0AG90	5MG3
Q86U42	3B4D
O35280	AF-O35280-F1
Q96F25	AF-Q96F25-F1
A6P7H6	AF-A6P7H6-F1
Q24238	AF-Q24238-F1
B9G434	AF-B9G434-F1
P17386	6SLM
O25150	AF-O25150-F1
Q8LAT0	AF-Q8LAT0-F1
Q9LSR9	AF-Q9LSR9-F1
P20717	AF-P20717-F1
P38249	3JAP
Q5JF32	3LX1
Q10483	AF-Q10483-F1
P30999	AF-P30999-F1
O15146	8S9P
P35998	5GJQ
P80203	AF-P80203-F1
Q8BXK9	AF-Q8BXK9-F1
Q9SIA5	AF-Q9SIA5-F1
Q7XB08	AF-Q7XB08-F1
P27089	AF-P27089-F1
Q9D0E1	AF-Q9D0E1-F1
P0C1Q4	UnFound
Q9LY29	AF-Q9LY29-F1
P08566	AF-P08566-F1
Q39190	AF-Q39190-F1
G5EBU4	AF-G5EBU4-F1
P21570	2BWK
Q9VFJ2	AF-Q9VFJ2-F1
P67863	1WQ8
O43301	AF-O43301-F1
Q9UT60	AF-Q9UT60-F1
Q5DTJ9	AF-Q5DTJ9-F1
Q920A7	AF-Q920A7-F1
Q9BWG4	7OBX
Q9VXY7	AF-Q9VXY7-F1
Q96SC8	AF-Q96SC8-F1
Q9QZM3	AF-Q9QZM3-F1
Q91VE0	AF-Q91VE0-F1
Q54ME1	AF-Q54ME1-F1
Q8BMI3	AF-Q8BMI3-F1
P22202	3UPV
Q8TD16	6OFP
Q99Y92	4NUY
P30839	AF-P30839-F1
Q01344	1OBX
Q08831	2B6G
P19880	1SSE
Q9VR05	AF-Q9VR05-F1
Q68FF9	AF-Q68FF9-F1
O13598	AF-O13598-F1
Q12370	AF-Q12370-F1
Q96NL1	AF-Q96NL1-F1
O64740	AF-O64740-F1
O81014	AF-O81014-F1
Q9SIG8	AF-Q9SIG8-F1
Q9W6A8	AF-Q9W6A8-F1
Q8VI47	AF-Q8VI47-F1
Q8IW75	4IF8
Q99759	2C60
P13637	8D3U
O50039	AF-O50039-F1
Q0WX57	AF-Q0WX57-F1
Q9ZQN8	AF-Q9ZQN8-F1
P38040	AF-P38040-F1
Q02099	AF-Q02099-F1
Q9P0K1	3G5C
Q8LE42	AF-Q8LE42-F1
Q0WN69	AF-Q0WN69-F1
O15197	7K7J
P84586	AF-P84586-F1
Q8C4V1	AF-Q8C4V1-F1
P39729	4A9A
Q4G163	AF-Q4G163-F1
Q8RZV7	AF-Q8RZV7-F1
Q9JID2	AF-Q9JID2-F1
Q9UT81	AF-Q9UT81-F1
P53202	AF-P53202-F1
Q48796	AF-Q48796-F1
Q9D2L6	AF-Q9D2L6-F1
Q95X94	AF-Q95X94-F1
Q9V3B6	AF-Q9V3B6-F1
Q90486	AF-Q90486-F1
F4JEQ2	AF-F4JEQ2-F1
Q8N1E2	AF-Q8N1E2-F1
P9WHH5	AF-P9WHH5-F1
P0C505	AF-P0C505-F1
Q8RWN2	AF-Q8RWN2-F1
Q3KQP7	AF-Q3KQP7-F1
Q9Y6H3	AF-Q9Y6H3-F1
Q5E4H8	AF-Q5E4H8-F1
Q9ASQ2	AF-Q9ASQ2-F1
Q12437	AF-Q12437-F1
Q91WU0	AF-Q91WU0-F1
Q9EPZ6	AF-Q9EPZ6-F1
Q9ZVI9	AF-Q9ZVI9-F1
Q9NZQ3	6DEC
Q9CWV1	AF-Q9CWV1-F1
P33981	2X9E
Q80ZG6	AF-Q80ZG6-F1
Q9SSE7	AF-Q9SSE7-F1
Q8W488	AF-Q8W488-F1
P0A6L4	1FDY
Q556Q0	AF-Q556Q0-F1
O32142	2H0E
P02567	AF-P02567-F1
P35727	AF-P35727-F1
P0ADC8	AF-P0ADC8-F1
P30022	UnFound
P59532	AF-P59532-F1
Q15058	AF-Q15058-F1
Q6XQN1	AF-Q6XQN1-F1
Q8WXG6	AF-Q8WXG6-F1
P18683	1HJI
Q15238	AF-Q15238-F1
Q9FQ25	AF-Q9FQ25-F1
Q12043	AF-Q12043-F1
Q09877	AF-Q09877-F1
P83511	AF-P83511-F1
Q9FHI1	AF-Q9FHI1-F1
Q9UTP0	8ESQ
Q61312	AF-Q61312-F1
Q9JKL1	AF-Q9JKL1-F1
Q8NDL9	AF-Q8NDL9-F1
B8YIE8	AF-B8YIE8-F1
Q8VZJ0	AF-Q8VZJ0-F1
Q8LG70	AF-Q8LG70-F1
P08099	AF-P08099-F1
P50077	AF-P50077-F1
Q98178	UnFound
Q9JJG6	AF-Q9JJG6-F1
P06280	1R46
P45972	AF-P45972-F1
O60069	AF-O60069-F1
P04085	3MJK
P37198	5IJN
Q6AXT5	AF-Q6AXT5-F1
Q9WYY1	1L9G
P46695	AF-P46695-F1
P46204	7D6C
Q6KFX9	AF-Q6KFX9-F1
Q9W602	AF-Q9W602-F1
P70338	AF-P70338-F1
Q87039	UnFound
Q9LDK9	AF-Q9LDK9-F1
P12032	AF-P12032-F1
Q8UW72	AF-Q8UW72-F1
Q8NC44	6EWC
Q941D6	AF-Q941D6-F1
P9WPN5	2UUQ
Q94HV7	AF-Q94HV7-F1
O75897	2AD1
O75355	AF-O75355-F1
Q80U04	AF-Q80U04-F1
O14133	AF-O14133-F1
Q9M349	AF-Q9M349-F1
O00115	AF-O00115-F1
Q09150	AF-Q09150-F1
Q56019	3TUL
Q54DA7	AF-Q54DA7-F1
Q2TJA6	AF-Q2TJA6-F1
O94265	AF-O94265-F1
Q62661	AF-Q62661-F1
Q8K2Q5	AF-Q8K2Q5-F1
P58766	AF-P58766-F1
Q76N32	AF-Q76N32-F1
P23624	AF-P23624-F1
P48298	AF-P48298-F1
Q8WXI4	3FO5
Q552E2	AF-Q552E2-F1
P9WKV1	AF-P9WKV1-F1
Q96L92	4HAS
P25028	AF-P25028-F1
P36160	3JCT
O02219	AF-O02219-F1
Q9SYJ8	AF-Q9SYJ8-F1
P84810	AF-P84810-F1
P30860	AF-P30860-F1
Q9CQT5	AF-Q9CQT5-F1
Q8JJ26	AF-Q8JJ26-F1
Q16849	2I1Y
Q94AF7	AF-Q94AF7-F1
Q9I2J9	AF-Q9I2J9-F1
Q9FG74	AF-Q9FG74-F1
Q6NS65	AF-Q6NS65-F1
A2A8L5	3PXH
Q8H1D3	AF-Q8H1D3-F1
A6NCE7	AF-A6NCE7-F1
Q856K7	UnFound
Q97L63	AF-Q97L63-F1
Q9ES83	AF-Q9ES83-F1
Q8NHG7	AF-Q8NHG7-F1
P20945	AF-P20945-F1
P61312	AF-P61312-F1
Q12672	AF-Q12672-F1
O53467	7EWC
Q38156	UnFound
Q9UHP6	8J07
P09758	2MAE
O80928	AF-O80928-F1
Q5FVI6	6VQ6
Q70KG5	AF-Q70KG5-F1
Q15438	1BC9
P01854	1F6A
Q8IXM6	AF-Q8IXM6-F1
Q3ECR7	AF-Q3ECR7-F1
Q84XF3	AF-Q84XF3-F1
P06399	AF-P06399-F1
Q62865	AF-Q62865-F1
Q54NG2	AF-Q54NG2-F1
Q8IM15	3FNS
Q06224	6I1D
C0SV12	AF-C0SV12-F1
P86415	AF-P86415-F1
G8JZT0	4FCH
P70545	AF-P70545-F1
P50523	AF-P50523-F1
Q9UT37	AF-Q9UT37-F1
Q336V8	AF-Q336V8-F1
P09180	4V6W
P76015	1OI2
Q9VWW0	AF-Q9VWW0-F1
A8MQT2	AF-A8MQT2-F1
Q86XT9	AF-Q86XT9-F1
P9WIP1	1LMI
Q9D7M1	AF-Q9D7M1-F1
Q92786	2LMD
Q9LZV4	AF-Q9LZV4-F1
Q21836	AF-Q21836-F1
Q9C112	AF-Q9C112-F1
Q99828	1DGU
A2A259	5Z1W
P09775	AF-P09775-F1
Q79EM7	AF-Q79EM7-F1
O94300	AF-O94300-F1
G5ECT0	AF-G5ECT0-F1
P0A843	AF-P0A843-F1
Q91ZR4	AF-Q91ZR4-F1
P61502	AF-P61502-F1
A0A509ASK2	AF-A0A509ASK2-F1
O75496	1T6F
Q9C6I6	AF-Q9C6I6-F1
Q8CEE0	AF-Q8CEE0-F1
Q9H0A9	AF-Q9H0A9-F1
Q69T21	AF-Q69T21-F1
Q84MH1	AF-Q84MH1-F1
O74475	AF-O74475-F1
A0A482N9V7	UnFound
F1R4U0	AF-F1R4U0-F1
Q05029	4IN3
K8FE10	AF-K8FE10-F1
Q9D9D3	AF-Q9D9D3-F1
A0A059TC02	4R1S
P06349	AF-P06349-F1
P08582	6XR0
P09081	1ZQ3
Q8H1U4	AF-Q8H1U4-F1
A1CFM2	AF-A1CFM2-F1
P39951	AF-P39951-F1
Q54F07	AF-Q54F07-F1
Q8NCR0	AF-Q8NCR0-F1
P04506	4GU3
Q6NQK0	AF-Q6NQK0-F1
Q5XIC0	AF-Q5XIC0-F1
P17970	AF-P17970-F1
F4ILF8	AF-F4ILF8-F1
P51612	AF-P51612-F1
Q54J26	AF-Q54J26-F1
Q9FW03	AF-Q9FW03-F1
P50172	1Y5M
Q8VC28	3LN3
O64749	AF-O64749-F1
Q18825	AF-Q18825-F1
Q5M614	AF-Q5M614-F1
Q95695	7WFF
Q8VDP2	AF-Q8VDP2-F1
Q9ZQC5	AF-Q9ZQC5-F1
Q8L8Y3	AF-Q8L8Y3-F1
Q9LRZ4	AF-Q9LRZ4-F1
P0AD65	6G9F
Q6PHU5	5NMR
Q9HAU8	AF-Q9HAU8-F1
Q14RS2	AF-Q14RS2-F1
Q8NA42	AF-Q8NA42-F1
Q9WTY8	AF-Q9WTY8-F1
Q9BX66	2DL3
Q86SE9	4S3O
Q3SY69	AF-Q3SY69-F1
Q92503	AF-Q92503-F1
P15289	1AUK
Q4R918	AF-Q4R918-F1
Q91392	AF-Q91392-F1
P9WJ93	AF-P9WJ93-F1
Q96DN2	AF-Q96DN2-F1
Q948T6	AF-Q948T6-F1
Q6GQQ9	5LRU
P82281	3RRW
Q13829	AF-Q13829-F1
O74546	AF-O74546-F1
Q80Y86	AF-Q80Y86-F1
A0A088MLT8	AF-A0A088MLT8-F1
Q17820	AF-Q17820-F1
P31467	AF-P31467-F1
O17581	AF-O17581-F1
P96374	AF-P96374-F1
Q9C0K3	AF-Q9C0K3-F1
P05765	7QGG
Q8NSL1	AF-Q8NSL1-F1
Q9M1I1	AF-Q9M1I1-F1
P23093	6X8P
P9WM07	AF-P9WM07-F1
Q4VP08	5Y9W
O74356	AF-O74356-F1
Q92544	AF-Q92544-F1
Q9Y6R1	6CAA
Q90423	AF-Q90423-F1
Q05895	AF-Q05895-F1
F7E540	AF-F7E540-F1
P33401	AF-P33401-F1
P76562	2ZPA
Q8BXQ6	AF-Q8BXQ6-F1
Q9P794	AF-Q9P794-F1
Q12454	AF-Q12454-F1
P38428	2MYX
Q9UKN5	2L9Z
F4J284	AF-F4J284-F1
Q9Y7X2	AF-Q9Y7X2-F1
Q06486	1CKI
P50885	4V8M
Q8LCE1	AF-Q8LCE1-F1
E0CYR6	AF-E0CYR6-F1
P0AG18	1D7A
Q9BPW8	AF-Q9BPW8-F1
P67318	AF-P67318-F1
O08674	AF-O08674-F1
Q9BTW9	AF-Q9BTW9-F1
Q5SUR0	AF-Q5SUR0-F1
Q01070	AF-Q01070-F1
Q60343	3A4T
Q96HQ0	AF-Q96HQ0-F1
Q9H7P9	AF-Q9H7P9-F1
Q8R184	AF-Q8R184-F1
Q24371	AF-Q24371-F1
Q680A5	AF-Q680A5-F1
Q0VG99	AF-Q0VG99-F1
Q23049	AF-Q23049-F1
P83177	UnFound
Q9UUH2	AF-Q9UUH2-F1
Q8BQB6	AF-Q8BQB6-F1
A0A140LIJ0	AF-A0A140LIJ0-F1
Q9UU90	AF-Q9UU90-F1
Q13523	4IAN
P79149	AF-P79149-F1
Q64566	AF-Q64566-F1
Q9LYK7	AF-Q9LYK7-F1
O14627	AF-O14627-F1
P16946	AF-P16946-F1
A1L4V7	AF-A1L4V7-F1
P22087	2IPX
Q96EQ9	4C1Q
Q91926	AF-Q91926-F1
Q63787	1FU5
Q9A4F4	AF-Q9A4F4-F1
P38224	AF-P38224-F1
O16130	4V6W
U5N4E3	AF-U5N4E3-F1
Q9ULI3	3U7D
Q8CA95	AF-Q8CA95-F1
P09027	AF-P09027-F1
Q90922	4PLM
Q5XIH0	AF-Q5XIH0-F1
Q9HWT7	AF-Q9HWT7-F1
Q20106	AF-Q20106-F1
P25301	AF-P25301-F1
Q8K0H1	AF-Q8K0H1-F1
P37005	AF-P37005-F1
P86732	AF-P86732-F1
O42354	7AH2
Q9Z2Q3	AF-Q9Z2Q3-F1
O05394	AF-O05394-F1
P48755	AF-P48755-F1
Q9UPY6	AF-Q9UPY6-F1
Q9D379	AF-Q9D379-F1
O75865	2C0J
Q9M3B8	AF-Q9M3B8-F1
Q8J0P4	6IBU
Q9D6J6	6G2J
Q9R0H0	AF-Q9R0H0-F1
P47208	AF-P47208-F1
Q966T6	AF-Q966T6-F1
Q6UXN7	AF-Q6UXN7-F1
Q86JM7	AF-Q86JM7-F1
Q7ZVE3	3E9C
Q8BMA5	AF-Q8BMA5-F1
Q55GQ5	AF-Q55GQ5-F1
Q96JN0	2COB
Q9US24	AF-Q9US24-F1
Q3U487	AF-Q3U487-F1
O48780	AF-O48780-F1
P53278	AF-P53278-F1
A0A384JQC9	AF-A0A384JQC9-F1
Q9WV89	1WI4
O95905	AF-O95905-F1
Q00709	AF-Q00709-F1
Q9V399	AF-Q9V399-F1
Q9M9M6	7A23
Q09889	AF-Q09889-F1
Q9FZ49	AF-Q9FZ49-F1
P00371	1AN9
P0A7J3	3J7Z
O54885	AF-O54885-F1
P53239	AF-P53239-F1
P56471	AF-P56471-F1
Q16769	2AFM
Q9CPV5	AF-Q9CPV5-F1
A0A455R7M0	AF-A0A455R7M0-F1
P37894	AF-P37894-F1
O31728	3ZIH
P0A862	1QXH
Q9BSL1	2DAI
P28293	AF-P28293-F1
Q9NUM3	AF-Q9NUM3-F1
P79875	AF-P79875-F1
Q8Y0J4	AF-Q8Y0J4-F1
